QMnumber,Borrow_time,Borrow_Year,Borrow_Month,Borrow_Day,Borrow_Hour,Borrow_Minute,Borrow_Second,Borrow_Station,Return_time,Return_Year,Return_Month,Return_Day,Return_Hour,Return_Minute,Return_Second,Return_Station
11111,2019/05/09 00:53:27,2019,5,9,0,53,27,B,2019/05/09 00:55:10,2019,5,9,0,55,10,B
11111,2019/05/09 01:27:32,2019,5,9,1,27,32,B,2019/05/09 01:35:28,2019,5,9,1,35,28,B
11111,2019/05/09 01:35:46,2019,5,9,1,35,46,A,2019/05/09 01:35:55,2019,5,9,1,35,55,A
11111,2019/05/09 01:36:47,2019,5,9,1,36,47,B,2019/05/09 01:36:53,2019,5,9,1,36,53,B
11111,2019/05/09 01:40:06,2019,5,9,1,40,6,B,2019/05/09 01:40:11,2019,5,9,1,40,11,B
11111,2019/05/09 01:52:00,2019,5,9,1,52,0,B,2019/05/09 01:52:07,2019,5,9,1,52,7,B
11111,2019/05/09 01:56:40,2019,5,9,1,56,40,B,2019/05/09 01:56:47,2019,5,9,1,56,47,B
11111,2019/05/09 02:11:22,2019,5,9,2,11,22,B,2019/05/09 02:11:36,2019,5,9,2,11,36,A
11111,2019/05/09 02:11:50,2019,5,9,2,11,50,B,2019/05/09 02:11:59,2019,5,9,2,11,59,B
11111,2019/05/28 19:16:55,2019,5,28,19,16,55,A,2019/05/28 19:17:03,2019,5,28,19,17,3,A
11111,2019/05/31 16:33:23,2019,5,31,16,33,23,B,2019/05/31 16:35:14,2019,5,31,16,35,14,B
11111,2019/05/31 16:35:26,2019,5,31,16,35,26,B,2019/05/31 16:35:37,2019,5,31,16,35,37,B
11111,2019/05/31 16:39:13,2019,5,31,16,39,13,A,2019/05/31 16:39:22,2019,5,31,16,39,22,B
11111,2019/05/31 16:39:32,2019,5,31,16,39,32,C,2019/05/31 16:42:47,2019,5,31,16,42,47,A
11111,2019/05/31 16:43:19,2019,5,31,16,43,19,A,2019/05/31 16:43:31,2019,5,31,16,43,31,B
11111,2019/05/31 16:44:11,2019,5,31,16,44,11,B,2019/05/31 16:44:20,2019,5,31,16,44,20,A
11111,2019/05/31 16:47:34,2019,5,31,16,47,34,B,2019/05/31 16:47:56,2019,5,31,16,47,56,A
11111,2019/05/31 16:48:05,2019,5,31,16,48,5,A,2019/05/31 16:48:15,2019,5,31,16,48,15,B
11111,2019/05/31 16:48:25,2019,5,31,16,48,25,B,2019/05/31 16:48:47,2019,5,31,16,48,47,A
161197566,2019/06/06 14:15:36,2019,6,6,14,15,36,A,2019/06/06 14:15:54,2019,6,6,14,15,54,A
161197566,2019/06/06 14:16:20,2019,6,6,14,16,20,C,2019/06/06 14:16:45,2019,6,6,14,16,45,A
161197566,2019/06/06 14:25:49,2019,6,6,14,25,50,A,2019/06/06 14:35:18,2019,6,6,14,35,18,B
161197566,2019/06/06 14:35:38,2019,6,6,14,35,38,A,2019/06/06 14:36:41,2019,6,6,14,36,41,B
161197566,2019/06/06 14:44:28,2019,6,6,14,44,28,B,2019/06/06 14:44:52,2019,6,6,14,44,52,B
161197566,2019/06/06 14:46:56,2019,6,6,14,46,56,B,2019/06/06 14:47:11,2019,6,6,14,47,11,B
161197566,2019/06/06 15:40:01,2019,6,6,15,40,1,A,2019/06/06 15:41:04,2019,6,6,15,41,4,C
161197474,2019/06/06 15:44:32,2019,6,6,15,44,32,B,2019/06/06 17:11:52,2019,6,6,17,11,52,C
